subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
KX0579,IW,UIowa,late,7.04362584,395.7930472,0,8.35E-04,0.002110077,NA,24.61677439,12.19003343,NA,5.134439722,9.869332455
QC3809,IW,UIowa,early,6.770250807,403.1640481,0.378000045,7.53E-04,0.001944585,7.21E-04,23.48794457,11.65704397,16.53492164,4.936383555,8.82426169
QC3809,IW,UIowa,late,7.21237586,403.7951731,0,7.92E-04,0.002023438,NA,25.29268485,12.18910456,NA,5.203468917,9.748310722
QC3810,IW,UIowa,early,6.500250775,407.7034236,1.231875147,8.18E-04,0.002008787,5.94E-04,23.23522938,10.2937679,11.13325631,4.705306146,8.446668479
QC3810,IW,UIowa,late,5.565375663,410.0085489,0,8.51E-04,0.00205373,NA,24.07790145,12.00651413,NA,4.837046549,9.264117707
UI0000,IW,UIowa,early,3.786750451,402.0334229,0,7.49E-04,0.001823573,NA,23.92177642,12.01667186,NA,4.769017424,7.80712603
VH1900,IW,UIowa,early,10.54687626,392.9512968,1.039500124,7.38E-04,0.00194617,6.27E-04,23.40550406,10.77740832,16.07559653,4.841782994,8.570632539
VH1900,IW,UIowa,late,8.076375963,383.6396707,0,8.38E-04,0.002100838,NA,24.27627244,11.30823404,NA,5.172491867,9.95390724
VH1919,IW,UIowa,early,6.706125799,418.1962999,9.034876077,7.42E-04,0.001885894,5.76E-04,23.99705297,11.28716608,14.94019674,4.704289164,8.502814007
VH1919,IW,UIowa,late,6.702750799,408.7530487,0,7.63E-04,0.002048859,NA,25.41357691,12.04594011,NA,5.169305105,9.7169736
AM4610,JH,JHU,early,11.47837637,373.1197945,69.55200829,6.08E-04,0.001632528,4.02E-04,25.69192891,13.15457183,14.44770838,11.39945374,19.41488976
FR5080,JH,JHU,early,10.29037623,414.4129244,8.262000985,6.87E-04,0.001912727,4.71E-04,25.80896854,12.8037723,15.55133509,7.926308174,15.37598361
