subject,sex,sleep,treat,corner
FR4507,F,Awake,B,1
FR4510,F,Awake,Control,1
FR4511,M,Awake,D,0.7
FR4512,F,Awake,A,0.895
FR4513,M,Awake,RIC Sham,0
FR4514,F,Awake,F,0.7
FR4517,M,Awake,F,1
FR4519,M,Awake,A,0.3
FR4940,M,Asleep,A,0.7
FR4941,M,Asleep,A,0.895
FR4942,F,Asleep,D,0.7
FR4944,F,Asleep,D,0.3
FR4945,M,Asleep,D,0
FR4946,M,Asleep,F,0
FR4947,F,Asleep,RIC Sham,0.105
FR4948,M,Asleep,RIC Sham,0.3
FR4950,M,Asleep,F,1
FR4951,F,Asleep,F,0.3
FR4952,F,Asleep,RIC Sham,1
FR4953,F,Asleep,RIC Sham,0.895
FR4961,M,Awake,C,0.3
FR4962,F,Awake,D,0.3
FR4963,M,Awake,D,0.105
FR4967,M,Awake,E,0
FR4969,M,Awake,E,0.105
FR4970,F,Awake,E,0.105
FR4972,M,Awake,C,0.7
FR4974,M,Awake,RIC Sham,0.895
FR4975,M,Awake,RIC Sham,0.7
FR4976,M,Awake,F,0.5
FR4977,M,Awake,F,0.3
FR4981,F,Asleep,F,0.3
FR4982,M,Asleep,F,1
FR4984,M,Asleep,RIC Sham,0.105
FR5044,M,Asleep,Control,0
FR5045,F,Asleep,D,0.895
FR5046,M,Asleep,E,1
FR5047,F,Asleep,C,0.895
FR5049,F,Asleep,D,0
FR5050,M,Asleep,D,0.895
FR5052,F,Asleep,E,0
FR5053,M,Asleep,B,0.3
FR5055,M,Asleep,D,0
FR5056,M,Asleep,C,0.7
FR5057,F,Asleep,A,0
FR5058,F,Asleep,A,0.105
FR5059,F,Asleep,E,0
FR5060,F,Awake,E,0.7
FR5061,M,Awake,Control,1
FR5063,M,Awake,A,0
FR5068,F,Awake,D,0.5
FR5069,M,Awake,D,0.105
FR5072,F,Awake,F,0.105
FR5073,F,Awake,F,0.105
FR5074,F,Awake,F,0
FR5082,F,Asleep,Control,0.7
FR5083,F,Asleep,D,0.105
FR5086,M,Asleep,C,0
FR5087,F,Asleep,B,0.5
FR5092,M,Asleep,A,0.7
FR5094,M,Asleep,B,0.105
FR5095,M,Asleep,F,0.105
FR5098,F,Asleep,C,0.895
FR5229,F,Awake,E,0.5
FR5230,F,Awake,B,0.7
