subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
FR5043,MG,MGH,early,9.855001175,325.5829138,121.9320145,6.16E-04,0.001723827,4.55E-04,19.87971862,9.805897278,12.43051188,2.070450219,3.264653481
FR5044,MG,MGH,early,7.475625891,381.9859205,44.57700531,6.25E-04,0.00166621,5.29E-04,20.35109464,9.977618108,14.29692107,1.991387122,3.36486429
FR5045,MG,MGH,early,7.060500842,325.9710389,83.90926,6.02E-04,0.001522919,4.98E-04,18.73066166,10.58654248,11.36020917,1.817130245,2.952066088
FR5046,MG,MGH,early,9.996751192,376.3564199,97.75351165,6.75E-04,0.001782887,4.85E-04,21.65762653,10.62395729,12.56325318,3.001853011,5.223891721
KX0000,MG,MGH,early,8.771626046,360.942793,100.0046369,6.75E-04,0.001788523,5.17E-04,21.90172099,10.31472038,12.38087165,2.926804303,5.219191407
KX0001,MG,MGH,early,8.81212605,406.0125484,56.08913169,6.60E-04,0.001776671,4.74E-04,21.90254567,10.50701122,13.37147728,3.050214405,5.025263435
KX0003,MG,MGH,early,7.678125915,372.5190444,56.32538171,5.78E-04,0.001605582,4.63E-04,17.98552778,9.261232698,12.60078345,1.749323824,2.547727247
KX0005,MG,MGH,early,8.22487598,390.3829215,20.53350245,5.54E-04,0.001497118,5.03E-04,17.72690784,9.323406533,13.47357146,1.780993175,2.692715497
QC3031,MG,MGH,early,8.13375097,395.2226721,16.83787701,7.00E-04,0.001821335,6.16E-04,21.65328526,10.31938044,16.67925526,2.914242528,5.217679207
QC3032,MG,MGH,early,11.89350142,446.2256782,0,7.70E-04,0.001919353,NA,21.83318123,10.16907459,NA,3.533119889,5.822644828
QC3034,MG,MGH,early,10.71900128,356.8387925,86.61938533,6.86E-04,0.001649213,5.24E-04,21.37877371,11.51551825,11.69370234,2.655424022,4.82650239
RX0007,MG,MGH,early,9.635626149,403.6534231,54.5568815,6.14E-04,0.001706694,5.02E-04,20.43535404,9.814187974,12.25977371,2.221791895,3.961848816
